Topic_ID,Tag_ID
1,2
1,3
1,6
5051,5
5051,9
5065,9
5066,10
5066,20
5066,38
5067,1
5067,9
5068,5
5069,10
5070,5
5070,6
5070,51
5071,2
5071,7
5071,44
5072,2
5073,22
5073,25
5074,17
5074,46
5075,2
5075,23
5076,2
5076,9
5076,10
5076,22
5076,27
5077,21
5077,29
5078,15
5078,17
5079,41
5080,6
5080,15
5080,37
5080,55
5081,9
5081,18
5081,42
5082,2
5082,15
5083,85
5084,78
5085,1
5085,5
5085,18
5086,85
5087,15
5087,17
5087,18
5087,34
5087,42
5087,74
5087,79
5087,81
5087,83
5087,1925
5088,5
5088,18
5089,10
5089,15
5089,17
5089,35
5090,85
5091,10
5091,15
5092,6
5093,5
5093,6
5093,9
5093,27
5094,85
5095,2
5095,6
5095,22
5096,20
5096,49
5097,2
5097,5
5098,5
5098,18
5098,34
5099,40
5099,50
5100,2
5100,9
5100,58
5101,2
5101,31
5102,85
5103,4
5104,1
5104,5
5104,39
5105,2
5105,4
5105,5
5105,18
5105,37
5106,6
5106,10
5107,1
5107,6
5107,22
5108,1
5108,5
5109,85
5110,3
5110,4
5110,18
5110,34
5111,23
5111,31
5112,9
5112,27
5112,35
5113,10
5113,15
5113,17
5113,35
5114,1
5114,2
5115,33
5115,60
5115,62
5116,85
5117,2
5117,9
5117,42
5117,47
5118,15
5118,17
5118,40
5119,9
5119,38
5120,18
5120,28
5120,31
5120,33
5120,38
5121,5
5121,10
5122,5
5122,23
5122,33
5123,10
5123,15
5123,17
5124,85
5125,5
5125,39
5126,1
5126,10
5127,6
5127,22
5128,20
5128,41
5129,18
5129,21
5129,26
5129,28
5129,31
5129,38
5129,41
5130,2
5130,9
5130,28
5131,85
5132,9
5132,21
5133,5
5133,39
5134,22
5134,62
5135,85
5136,1
5136,18
5136,39
5137,1
5137,14
5137,40
5138,2
5139,5
5140,85
5141,1
5141,5
5141,22
5142,6
5142,22
5142,33
5144,22
5145,85
5146,1
5146,15
5146,18
5146,36
5147,6
5147,9
5147,21
5147,27
5148,18
5148,21
5148,32
5149,1
5149,6
5149,65
5150,2
5150,44
5151,85
5152,1
5152,5
5153,14
5153,23
5153,36
5155,3
5156,1
5156,15
5156,36
5157,85
5158,5
5158,33
5159,18
5159,21
5159,32
5160,9
5160,27
5160,28
5161,6
5161,21
5161,22
5162,9
5162,21
5163,15
5163,35
5164,85
5182,5
5182,78
5183,5
5183,34
5184,1
5184,5
5185,39
5185,101
5185,102
5186,85
5187,5
5187,6
5188,1
5188,6
5188,53
5189,2
5189,5
5190,5
5191,6
5191,16
5192,34
5192,55
5193,5
5193,25
5194,5
5194,6
5195,2
5196,1
5196,2
5196,4
5197,1
5197,34
5198,85
5202,15
5202,49
5203,1
5204,9
5204,31
5204,91
5204,103
5204,104
5204,105
5204,106
5205,17
5205,107
5206,2
5206,6
5206,10
5206,33
5207,23
5207,55
5207,105
5207,108
5208,15
5208,16
5208,18
5208,109
5208,110
5209,9
5209,27
5209,38
5210,4
5210,23
5210,97
5210,111
5211,6
5211,33
5211,105
5212,15
5212,17
5212,35
5213,9
5214,4
5214,50
5214,105
5215,2
5215,23
5215,44
5216,15
5216,26
5216,112
5217,1
5217,6
5217,113
5217,114
5218,6
5218,22
5218,25
5218,86
5218,115
5219,85
5220,85
5221,5
5221,116
5222,9
5222,91
5222,105
5222,117
5223,9
5223,118
5225,105
5225,119
5226,23
5226,120
5227,5
5227,31
5227,121
5227,122
