Topic_ID,Created_Year,Created_Month,Topic_Original_Title,Provider_ID,Topic_Desc,Topic_Volume,Topic_Issue,Topic_Counter,Topic_Language,Topic_UID,CategoryID,Topic_Archived
20000,2017,12_Diciembre,The Line of Beauty,1,,2017,12,0,sp,20000_2,2,1
20001,2017,12_Diciembre,Postern of Fate,1,,2017,12,0,sp,20001_2,2,1
20002,2017,12_Diciembre,The Sun Also Rises,1,,2017,12,0,sp,20002_2,2,1
20003,2017,12_Diciembre,Time To Murder And Create,1,,2017,12,0,sp,20003_2,2,1
20004,2017,12_Diciembre,O Jerusalem!,1,,2017,12,0,sp,20004_2,2,1
20005,2017,12_Diciembre,Quo Vadis,1,,2017,12,0,sp,20005_2,2,1
20006,2017,12_Diciembre,Infinite Jest,1,,2017,12,0,sp,20006_2,2,1
20007,2017,12_Diciembre,"Such, Such Were the Joys",1,,2017,12,0,sp,20007_2,2,1
20008,2017,12_Diciembre,The Skull Beneath the Skin,1,,2017,12,0,sp,20008_2,2,1
20009,2017,12_Diciembre,Noli Me Tangere,1,,2017,12,0,sp,20009_2,2,1
20010,2017,12_Diciembre,In Dubious Battle,1,,2017,12,0,sp,20010_2,2,1
20011,2017,12_Diciembre,Vile Bodies,1,,2017,12,0,sp,20011_2,2,1
20012,2017,12_Diciembre,Recalled to Life,1,,2017,12,0,sp,20012_2,2,1
20013,2017,12_Diciembre,This Lime Tree Bower,1,,2017,12,0,sp,20013_2,2,1
20014,2017,12_Diciembre,The Soldier's Art,1,,2017,12,0,sp,20014_2,2,1
20015,2017,12_Diciembre,Tirra Lirra by the River,1,,2017,12,0,sp,20015_2,2,1
20016,2017,12_Diciembre,No Highway,1,,2017,12,0,sp,20016_2,2,1
20017,2017,12_Diciembre,The Sun Also Rises,1,,2017,12,0,sp,20017_2,2,1
20018,2017,12_Diciembre,The Way Through the Woods,1,,2017,12,0,sp,20018_2,2,1
20019,2018,01_Enero,For a Breath I Tarry,1,,2018,1,0,sp,20019_2,2,1
20020,2018,01_Enero,Carrion Comfort,1,,2018,1,0,sp,20020_2,2,1
20021,2018,01_Enero,In a Dry Season,1,,2018,1,0,sp,20021_2,2,1
20022,2018,01_Enero,The Last Temptation,1,,2018,1,0,sp,20022_2,2,1
20023,2018,01_Enero,Antic Hay,1,,2018,1,0,sp,20023_2,2,1
20024,2018,01_Enero,A Catskill Eagle,1,,2018,1,0,sp,20024_2,2,1
20025,2018,01_Enero,The Wind's Twelve Quarters,1,,2018,1,0,sp,20025_2,2,1
20026,2018,01_Enero,Nine Coaches Waiting,1,,2018,1,0,sp,20026_2,2,1
20027,2018,01_Enero,Stranger in a Strange Land,1,,2018,1,0,sp,20027_2,2,1
20028,2018,01_Enero,That Hideous Strength,1,,2018,1,0,sp,20028_2,2,1
20029,2018,01_Enero,Where Angels Fear to Tread,1,,2018,1,0,sp,20029_2,2,1
20030,2018,01_Enero,Beyond the Mexique Bay,1,,2018,1,0,sp,20030_2,2,1
20031,2018,01_Enero,Nectar in a Sieve,1,,2018,1,0,sp,20031_2,2,1
20032,2018,01_Enero,Terrible Swift Sword,1,,2018,1,0,sp,20032_2,2,1
20033,2018,01_Enero,When the Green Woods Laugh,1,,2018,1,0,sp,20033_2,2,1
20034,2018,01_Enero,Endless Night,1,,2018,1,0,sp,20034_2,2,1
20035,2018,01_Enero,Some Buried Caesar,1,,2018,1,0,sp,20035_2,2,1
20036,2018,01_Enero,Pale Kings and Princes,1,,2018,1,0,sp,20036_2,2,1
20037,2018,01_Enero,The Waste Land,1,,2018,1,0,sp,20037_2,2,1
20038,2018,01_Enero,The Other Side of Silence,1,,2018,1,0,sp,20038_2,2,1
20039,2018,01_Enero,Recalled to Life,1,Aut quaerat vel. Delectus blanditiis aut.,2018,1,0,sp,20039_2,2,1
20040,2018,02_Febrero,I Will Fear No Evil,1,Ducimus quis sit. Mollitia quasi illum.,2018,2,0,sp,20040_2,2,1
20041,2018,02_Febrero,If I Forget Thee Jerusalem,1,Deleniti sit minus. Quos est omnis.,2018,2,0,sp,20041_2,2,1
20042,2018,02_Febrero,Pale Kings and Princes,1,Omnis modi est. Adipisci necessitatibus beatae.,2018,2,0,sp,20042_2,2,1
20043,2018,02_Febrero,Mother Night,1,Enim optio omnis. Doloremque est qui.,2018,2,0,sp,20043_2,2,1
20044,2018,02_Febrero,Gone with the Wind,1,Et autem assumenda. Dicta culpa saepe.,2018,2,0,sp,20044_2,2,1
20045,2018,02_Febrero,Ring of Bright Water,1,Officia quo accusantium. Velit animi tempore.,2018,2,0,sp,20045_2,2,1
20046,2018,02_Febrero,Precious Bane,1,Saepe odio autem. Iure similique aut.,2018,2,0,sp,20046_2,2,1
20047,2018,02_Febrero,East of Eden,1,Ut cum consequatur. Est sunt sed.,2018,2,0,sp,20047_2,2,1
20048,2018,02_Febrero,A Passage to India,1,Voluptas similique nobis. Excepturi mollitia voluptas.,2018,2,0,sp,20048_2,2,1
20049,2018,02_Febrero,Tirra Lirra by the River,1,Dignissimos cumque optio. Sed sit aut.,2018,2,0,sp,20049_2,2,1
20050,2018,02_Febrero,The Doors of Perception,1,Pariatur atque et. Vero qui expedita.,2018,2,0,sp,20050_2,2,1
20051,2018,02_Febrero,An Acceptable Time,1,Vel ipsum aliquam. Itaque unde tenetur.,2018,2,0,sp,20051_2,2,1
20052,2018,02_Febrero,An Instant In The Wind,1,Repellat molestiae non. Officiis quo voluptas.,2018,2,0,sp,20052_2,2,1
